year,mean_lst,trend_line
2017,45.51716848705672,46.22604698543705
2019,47.43746131054551,44.75994568934061
2021,40.777315752421,43.29384439324417
2023,41.66376750870039,41.82774309714773
2025,41.07350890749701,40.36164180105129
